id,from,to,article_ids,weight
342,Báo Quân Đội Nhân Dân,tỉnh Hải Dương sĩ quan quân đội nhân dân Việt Nam,[70],1
343,Báo Quân Đội Nhân Dân,tỉnh Thái Nguyên,[70],1
344,Bãi Sủng Cỏ,thành phố Đà Nẵng,[71],1
345,Bãi Vọt,Bộ Giao thông vận tải,[77],1
346,Bãi Vọt,Hàm Nghi,[77],1
347,Bãi Vọt,Hồ Chí Minh,[77],1
348,Bãi Vọt,Kim Liên,[77],1
349,Bãi Vọt,Nguyễn Văn Thắng,[77],1
350,Bãi Vọt,Ngã ba,[77],1
351,Bãi Vọt,cao tốc Bãi Vọt,[77],1
352,Bãi Vọt,cầu Thần Vũ,[77],1
353,Bãi Vọt,cầu Ồ Ồ,[77],1
354,Bãi Vọt,huyện Can Lộc,[77],1
355,Bãi Vọt,huyện Nam Đàn,[77],1
356,Bãi Vọt,hầm Thần Vũ,[77],1
357,Bãi Vọt,núi Chung,[77],1
358,Bãi Vọt,tỉnh Hà Tĩnh,[77],1
359,Bãi Vọt,xã Kim Liên,[77],1
360,Bãi Vọt,Đồng Lộc,[77],1
361,Bãi Vọt,đền Chung Sơn,[77],1
362,Bình Chánh,Khu công nghiệp An Hạ,[64],1
363,Bình Chánh,Long Thạnh Mỹ,[64],1
364,Bình Chánh,huyện Bình Chánh,[64],1
365,Bình Chánh,huyện Hóc Môn,[64],1
366,Bình Chánh,phường Long Bình,[64],1
367,Bình Chánh,xã Phạm Văn Hai,[64],1
368,Bình Chánh,xã Tân Thạnh Tây,[64],1
369,Bình Chánh,xã Xuân Thới Đông,[64],1
370,Bình Dương,Bình Chánh,[64],1
371,Bình Dương,Bộ Tài nguyên và Môi trường,[64],1
372,Bình Dương,Hóc Môn,[64],1
373,Bình Dương,Khu công nghiệp An Hạ,[64],1
374,Bình Dương,Long An,[64],1
375,Bình Dương,Long Thạnh Mỹ,[64],1
376,Bình Dương,TP Thủ Đức,[64],1
377,Bình Dương,UBND TP . HCM,[64],1
378,Bình Dương,UBND tỉnh Long An,[64],1
379,Bình Dương,huyện Bình Chánh,[64],1
380,Bình Dương,huyện Củ Chi,[64],1
381,Bình Dương,huyện Hóc Môn,[64],1
382,Bình Dương,phường Long Bình,[64],1
383,Bình Dương,xã Phạm Văn Hai,[64],1
384,Bình Dương,xã Tân Thạnh Tây,[64],1
385,Bình Dương,xã Xuân Thới Đông,[64],1
386,Bình Sơn,Cao Tiến Dũng,[66],1
387,Bình Sơn,Lê Văn Tiếp,[66],1
388,Bình Sơn,Phạm Minh Chính,[66],1
389,Bình Sơn,Trần Hồng Phương,[66],1
390,Bình Sơn,Tổng công ty Cảng hàng không Việt Nam,[66],1
391,Bình Sơn,UBND huyện Long Thành,[66],1
392,Bình Sơn,UBND tỉnh Đồng Nai,[66],1
393,Bình Sơn,huyện Long Thành,[66],1
394,Bình Sơn,sân bay Long Thành,[66],1
395,Bình Sơn,sân bay quốc tế Long Thành,[66],1
396,Bình Sơn,xã Bình Sơn,[66],1
397,Bình Sơn,ấp Suối Trầu 2,[66],1
398,Bình Thuận,Bộ Y tế,[52],1
399,Bình Thuận,Cà Mau,[53],1
